k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.13;151.74;100.19;103.92;4.12;182.61;4.05;418.45;19.84;4;20.58;199.66;384.35;276.93
4.13;152.21;100.43;104.59;4.12;183.33;4.05;418.02;19.65;4;20.4;199.94;384.36;276.81
4.12;151.56;99.91;103.74;4.12;183.98;4.05;417.97;19.68;4;20.42;199.34;384.38;276.59
4.11;154.3;102.06;104.88;4.1;182.08;4.04;414.16;19.7;3.99;20.46;201.63;384.46;274.56
4.11;153.35;101.76;104.47;4.11;182.44;4.04;414.74;19.73;3.99;20.48;200.37;383.78;275.86
4.13;156.45;104.29;103.2;4.12;179.67;4.05;415.31;20.52;4;21.32;204.57;390.04;273.95
4.14;157.18;105.73;104.54;4.13;178.44;4.05;417.23;21.07;4;21.88;205.1;390.41;274.79
4.13;157.14;105.96;104.41;4.12;179.25;4.04;417.63;21.13;3.99;21.91;205.22;390.84;274.83
4.14;156.88;106.1;104.67;4.13;179.75;4.05;418.33;21.35;3.99;22.15;204.99;390.58;274.97
4.14;156.71;105.48;104.22;4.14;179.36;4.06;418.79;21.29;4;22.1;204.6;391.09;275.08
4.13;156.1;104.76;103.29;4.13;178.83;4.05;418.21;21.36;3.99;22.15;204.17;390.52;274.69
4.13;156.33;105.43;103.71;4.12;178.59;4.04;418.32;21.42;3.98;22.19;204.59;390.45;274.79
4.13;156.05;105.26;103.71;4.13;178.87;4.05;418.9;21.37;3.99;22.14;204.27;391.03;275.06
4.14;156.2;105.01;103.34;4.13;177.92;4.05;418.76;21.39;3.99;22.18;204.29;390.98;275.07
4.13;156.4;105.63;103.83;4.13;178.83;4.05;418.4;21.37;3.99;22.15;204.51;390.58;274.91
4.13;156.7;106.4;104.43;4.13;179.53;4.05;418.43;21.35;3.99;22.13;204.56;390.78;275.03
4.13;157.07;106.6;104.5;4.12;180.01;4.04;418.63;21.46;3.99;22.23;204.79;391.03;275.13
4.14;157.1;106.38;104.46;4.13;178.11;4.05;417.72;21.32;4;22.12;205.07;390.33;274.98
4.14;157.02;106.55;104.62;4.13;179.31;4.05;419.52;21.38;4;22.17;205.38;391.75;275.66
4.13;156.64;105.94;104.01;4.12;179.78;4.04;420.5;21.23;3.99;21.96;205.59;393.64;275.92
4.13;157.3;106.59;104.74;4.13;177.76;4.05;418.9;21.32;3.99;22.09;205.14;391.45;275.29
4.15;156.8;106.07;104.18;4.14;179.66;4.06;418.37;21.32;4.01;22.15;204.72;390.68;275.23
4.13;155.93;104.84;103.21;4.12;180.04;4.04;418.19;21.16;3.98;21.93;204.59;391.36;274.95
